1.76724e+09,-nan,-nan
1.76724e+09,1.98996,0.0411977
1.76724e+09,1.9774,0.0198513
1.76724e+09,1.98916,0.00543197
1.76724e+09,1.97604,0.0224109
1.76724e+09,1.99297,0.00708749
1.76724e+09,1.9997,0.0240635
1.76724e+09,1.99025,0.0109915
1.76724e+09,1.99734,0.041907
1.76724e+09,1.99111,0.0543519
1.76724e+09,1.99754,0.0316429
1.76724e+09,1.99384,0.00970419
1.76724e+09,1.96991,0.00935663
1.76724e+09,1.99924,0.0365279
1.76724e+09,1.99844,0.0327823
1.76724e+09,1.99812,0.0466537
1.76724e+09,0.370489,0.058468
1.76724e+09,0.765635,0.0418379
1.76724e+09,1.98387,0.0273965
1.76724e+09,1.99512,0.085165
1.76724e+09,1.96561,0.0201557
1.76724e+09,1.97812,0.0526857
1.76724e+09,0,0.0224729
1.76724e+09,1.99449,0.0379971
1.76724e+09,1.98918,0.042983
1.76724e+09,1.99234,0.0199922
1.76724e+09,0.261672,0.0447963
1.76724e+09,1.94169,0.0357338
1.76724e+09,0.304549,0.0830022
1.76724e+09,0.230769,0.0190608
1.76724e+09,0.0452539,0.111907
1.76724e+09,1.99622,0.294524
1.76724e+09,1.87482,0.0552981
1.76724e+09,1.92701,0.0502055
1.76724e+09,0,0.142798
1.76724e+09,1.94712,0.0785818
1.76724e+09,1.94039,0.0592252
1.76724e+09,1.85389,0.051781
1.76724e+09,1.97515,0.0495594
1.76724e+09,1.88153,0.0516711
1.76724e+09,1.94305,0.0673901
1.76724e+09,1.88838,0.0289043
1.76724e+09,1.94554,0.0882814
1.76724e+09,0.455778,0.0376538
1.76724e+09,1.89464,0.0369285
1.76724e+09,1.91538,0.0467691
1.76724e+09,1.79243,0.0460894
1.76724e+09,1.91459,0.0652919
1.76724e+09,1.92359,0.0617423
1.76724e+09,0.488076,0.0540089
1.76724e+09,0.300364,0.0726732
1.76724e+09,0.285015,0.0311306
1.76724e+09,0.454476,0.155949
1.76724e+09,1.95456,0.108652
1.76724e+09,0.393815,0.0293791
1.76724e+09,0.418033,0.137984
1.76724e+09,1.98138,0.0361348
1.76724e+09,1.97115,0.114941
1.76724e+09,1.95053,0.0908958
1.76724e+09,1.96991,0.27787
1.76724e+09,0.0235203,0.057608
1.76724e+09,0,0.16724
1.76724e+09,1.98734,0.0571955
1.76724e+09,0.406526,0.0376505
1.76724e+09,0.462115,0.033755
1.76724e+09,1.99453,0.011515
1.76724e+09,1.98707,0.0392004
1.76724e+09,0.0867437,0.0126061
1.76724e+09,1.99874,0.0240088
1.76724e+09,1.92278,0.0668417
1.76724e+09,1.94788,0.0153464
1.76724e+09,0.148528,0.0486731
1.76724e+09,1.99106,0.0166714
1.76724e+09,1.99632,0.0131119
1.76724e+09,0,0.0772465
1.76724e+09,0.219318,0.0410115
1.76724e+09,0,0.0789399
1.76724e+09,0.208175,0.0803812
1.76724e+09,1.89122,0.13475
1.76724e+09,0.670197,0.0345067
1.76724e+09,1.84331,0.027441
1.76724e+09,0.735821,0.0461367
1.76724e+09,0.647783,0.0736881
1.76724e+09,0.687553,0.0840225
1.76724e+09,0.66443,0.0687955
1.76724e+09,1.80209,0.0566354
1.76724e+09,0.697373,0.100395
1.76724e+09,1.60588,0.0240797
1.76724e+09,1.50165,0.0691707
1.76724e+09,1.41629,0.0399581
1.76724e+09,0.873178,0.0675123
1.76724e+09,1.80715,0.0412641
1.76724e+09,0.57178,0.0194843
1.76724e+09,0.289756,0.0199854
