1.76724e+09,-nan,-nan
1.76724e+09,0.0248176,0.0072919
1.76724e+09,0,0.00340333
1.76724e+09,0.123645,0.010653
1.76724e+09,0.082617,0.00983088
1.76724e+09,0.0474324,0.00082973
1.76724e+09,0,0.00230647
1.76724e+09,0.0761007,0.00725259
1.76724e+09,0.0114668,0.00111086
1.76724e+09,0.0180271,0.000844679
1.76724e+09,0.66539,0.0327036
1.76724e+09,0.0534242,0.00432442
1.76724e+09,0.0401375,0.00651207
1.76724e+09,0.0653742,0.00434657
1.76724e+09,0.0521736,0.00612343
1.76724e+09,0.00938059,0.00155632
1.76724e+09,0,0.00172771
1.76724e+09,0.0247136,0.00205591
1.76724e+09,0.0183544,0.00184647
1.76724e+09,0.181236,0.00859851
1.76724e+09,0.0180456,0.00133949
1.76724e+09,0.0869362,0.0039348
1.76724e+09,0.0383376,0.00285985
1.76724e+09,0.0601198,0.00697152
1.76724e+09,0.237626,0.0121782
1.76724e+09,0.0257534,0.00451438
1.76724e+09,0.082344,0.00441618
1.76724e+09,0.116853,0.00529287
1.76724e+09,0.0571245,0.00416944
1.76724e+09,0.104132,0.00828634
1.76724e+09,0.106989,0.012756
1.76724e+09,0.118453,0.0162551
1.76724e+09,0.125856,0.0465897
1.76724e+09,0.180465,0.00332354
1.76724e+09,0.0928465,0.0117293
1.76724e+09,0.0669881,0.0291887
1.76724e+09,0.0372938,0.0110614
1.76724e+09,0.179702,0.0110839
1.76724e+09,0.242233,0.0323707
1.76724e+09,0.0521112,0.0238515
1.76724e+09,0.178093,0.0105998
1.76724e+09,0.0480369,0.00720622
1.76724e+09,0.139307,0.0104279
1.76724e+09,0.0307707,0.00312689
1.76724e+09,0.029302,0.00410133
1.76724e+09,0.095703,0.00959628
1.76724e+09,0.0111718,0.00295468
1.76724e+09,0.175145,0.0144381
1.76724e+09,0.0302916,0.0019569
1.76724e+09,0.120977,0.00674793
1.76724e+09,0.0638857,0.00323137
1.76724e+09,0.047994,0.00387626
1.76724e+09,0.108704,0.00333179
1.76724e+09,0.27789,0.0097556
1.76724e+09,0.115624,0.00611809
1.76724e+09,0.0940692,0.00507835
1.76724e+09,0.203178,0.0203768
1.76724e+09,0,0.14938
1.76724e+09,0.0301047,0.125284
1.76724e+09,0.433781,0.022606
1.76724e+09,0.106169,0.00743011
1.76724e+09,0.0575775,0.00987888
1.76724e+09,0.179672,0.00336916
1.76724e+09,0.0613031,0.00480154
1.76724e+09,0.030709,0.022106
1.76724e+09,0.365577,0.0412537
1.76724e+09,0.183282,0.00364463
1.76724e+09,0,0.111364
1.76724e+09,0.192638,0.0886679
1.76724e+09,0.397622,0.0405435
1.76724e+09,0.0802499,0.0196837
1.76724e+09,0.0780691,0.0179086
1.76724e+09,0.599181,0.0243679
1.76724e+09,0.115555,0.00760669
1.76724e+09,0.501305,0.0163797
1.76724e+09,0.0439907,0.0121724
1.76724e+09,0.369829,0.0236788
1.76724e+09,0.135068,0.0107245
1.76724e+09,0.113433,0.0132284
1.76724e+09,0.350203,0.00670808
1.76724e+09,0.304049,0.00621042
1.76724e+09,0.412828,0.0235802
1.76724e+09,0.0824697,0.0168661
1.76724e+09,0,0.0617518
1.76724e+09,0.387714,0.0301636
1.76724e+09,0.491374,0.0181379
1.76724e+09,0.0773504,0.00402668
1.76724e+09,0.175066,0.0130628
1.76724e+09,0.0383653,0.00551278
1.76724e+09,0.0781226,0.0130144
1.76724e+09,0.213809,0.00625657
1.76724e+09,0.322479,0.0214126
1.76724e+09,0.11337,0.0234309
1.76724e+09,0.375941,0.0413156
1.76724e+09,0.0648659,0.0309211
1.76724e+09,0.120912,0.00309397
1.76724e+09,0.169271,0.00347665
1.76724e+09,0.0565878,0.00267029
1.76724e+09,0.0777212,0.00261113
1.76724e+09,0.120889,0.00761235
1.76724e+09,0.179509,0.0125298
1.76724e+09,0.114668,0.00441386
1.76724e+09,0.0846549,0.00647424
1.76724e+09,0.223093,0.0128356
1.76724e+09,0.388673,0.0440449
1.76724e+09,0.156648,0.0252033
1.76724e+09,0.0829752,0.00749474
1.76724e+09,0.363663,0.0407138
1.76724e+09,0.140964,0.00704431
1.76724e+09,0.0307029,0.0222888
1.76724e+09,0.0825653,0.0113143
1.76724e+09,0.752036,0.160823
1.76724e+09,0.160308,0.0304148
1.76724e+09,0.0458222,0.0171379
1.76724e+09,0.0449139,0.0133755
1.76724e+09,0.0912652,0.0138753
1.76724e+09,0,0.0197896
1.76724e+09,0.0126056,0.0226566
1.76724e+09,0.0862775,0.0065799
1.76724e+09,0.0356401,0.00475471
1.76724e+09,0.117581,0.0136955
1.76724e+09,0.0499094,0.00661569
1.76724e+09,0.216545,0.0205144
1.76724e+09,0.109642,0.0209285
1.76724e+09,0.320862,0.00767889
1.76724e+09,0.0142482,0.00941413
1.76724e+09,0.257479,0.0171916
1.76724e+09,0.204146,0.0252869
1.76724e+09,0.0224697,0.0194836
1.76724e+09,0.441103,0.0529938
1.76724e+09,0.028257,0.012483
1.76724e+09,0.193326,0.0144356
1.76724e+09,0.0942794,0.0156475
1.76724e+09,0.0970939,0.00522856
1.76724e+09,0.225034,0.0222598
1.76724e+09,0.308276,0.0249333
1.76724e+09,0.111064,0.0182505
1.76724e+09,0.115636,0.00602351
1.76724e+09,0.171512,0.00522968
1.76724e+09,0.152454,0.00945607
1.76724e+09,0.0837406,0.0160074
1.76724e+09,0.397743,0.00366376
1.76724e+09,0.274948,0.0263986
1.76724e+09,0.341109,0.00854375
1.76724e+09,0.199273,0.0300335
1.76724e+09,0.337334,0.0167521
1.76724e+09,0.11143,0.0127954
1.76724e+09,0.394018,0.00507297
1.76724e+09,1.67769,0.0301523
1.76724e+09,0.545426,0.0101678
1.76724e+09,0.113215,0.00838481
1.76724e+09,0.0590011,0.00780393
1.76724e+09,0.457995,0.0199905
1.76724e+09,0.53414,0.0129174
1.76724e+09,0.530081,0.0112258
1.76724e+09,0.307052,0.00873238
1.76724e+09,0.283146,0.0195556
1.76724e+09,0.124084,0.0061669
1.76724e+09,0.290269,0.00564812
1.76724e+09,0.165661,0.0123997
1.76724e+09,0.310294,0.0134207
1.76724e+09,0.180375,0.0289815
1.76724e+09,0.134736,0.0125846
1.76724e+09,0.436106,0.00552315
1.76724e+09,0.00603613,0.0142437
1.76724e+09,0.310573,0.0140106
1.76724e+09,0.0922016,0.0121204
1.76724e+09,0.140534,0.00349703
1.76724e+09,0.0586495,0.00310198
1.76724e+09,0.014536,0.00371436
1.76724e+09,0.369561,0.0170568
1.76724e+09,0.0203709,0.0194731
1.76724e+09,0.124898,0.0130426
1.76724e+09,0.165102,0.00680899
1.76724e+09,0.0326178,0.00334231
1.76724e+09,0.0833718,0.00497612
1.76724e+09,0.00814372,0.00637098
1.76724e+09,0.102076,0.00516932
1.76724e+09,0.182715,0.0105381
1.76724e+09,0.0255288,0.00507655
1.76724e+09,0.149811,0.0122176
1.76724e+09,0.191364,0.0111318
1.76724e+09,0.248297,0.0156571
1.76724e+09,0.108055,0.0064034
1.76724e+09,0.141131,0.0064065
1.76724e+09,0.449863,0.0171413
1.76724e+09,0.186938,0.0041952
1.76724e+09,0.0824562,0.00625541
1.76724e+09,0.169835,0.00456003
1.76724e+09,0.400757,0.016322
1.76724e+09,0,0.015971
1.76724e+09,0.0646482,0.00321173
1.76724e+09,0.165983,0.00717801
1.76724e+09,0.336589,0.00917542
1.76724e+09,0.068221,0.00325526
1.76724e+09,0.115124,0.0159338
1.76724e+09,0.15766,0.0152954
1.76724e+09,0.111409,0.0217096
1.76724e+09,0.0910064,0.00374176
1.76724e+09,0.285734,0.0164058
1.76724e+09,0.0612395,0.0102707
1.76724e+09,0.695084,0.0366824
1.76724e+09,0.056823,0.00884554
1.76724e+09,0.154428,0.0167142
1.76724e+09,0.209765,0.0111423
1.76724e+09,0.695295,0.0454059
1.76724e+09,0.0136335,0.00924329
1.76724e+09,0.112357,0.0178126
