1.76724e+09,-nan,-nan
1.76724e+09,0.0350941,0.00324297
1.76724e+09,0.0822924,0.00667177
1.76724e+09,0.0088613,0.00213382
1.76724e+09,0.071623,0.004843
1.76724e+09,0.0342247,0.00257661
1.76724e+09,0.157559,0.00824065
1.76724e+09,0.098209,0.0076312
1.76724e+09,0.0471894,0.00391133
1.76724e+09,0.0913793,0.000540026
1.76724e+09,1,0.00169234
1.76724e+09,0.0277781,0.00176874
1.76724e+09,0.0886263,0.00283474
1.76724e+09,0.0470197,0.00447269
1.76724e+09,0.0173746,0.00082093
1.76724e+09,0.0295751,0.00154418
1.76724e+09,0.0622139,0.00456394
1.76724e+09,0.0701795,0.00698877
1.76724e+09,0.233685,0.00174048
1.76724e+09,0.224417,0.00572014
1.76724e+09,0.0398527,0.00229004
1.76724e+09,0.0273328,0.00400415
1.76724e+09,0.0702613,0.00443953
1.76724e+09,0.298238,0.00635448
1.76724e+09,0.18131,0.00673433
1.76724e+09,0.0947978,0.00479792
1.76724e+09,0.0717553,0.00524741
1.76724e+09,0.143638,0.00455548
1.76724e+09,0.0649251,0.0100465
1.76724e+09,0.102618,0.00536417
1.76724e+09,0.205542,0.000566136
1.76724e+09,0.0259038,0.00317645
1.76724e+09,0.100191,0.00235616
1.76724e+09,0.0258361,0.0165667
1.76724e+09,0.0395734,0.0198203
1.76724e+09,0.129204,0.0172628
1.76724e+09,0.042063,0.0152119
1.76724e+09,0.04819,0.0207226
1.76724e+09,0.0805321,0.00856023
1.76724e+09,0.136247,0.0127806
1.76724e+09,0.0698409,0.0040416
1.76724e+09,0.0579071,0.00357748
1.76724e+09,0.15905,0.00676088
1.76724e+09,0.0895379,0.00132138
1.76724e+09,0.111732,0.00814435
1.76724e+09,0.0992585,0.00488626
1.76724e+09,0.0756838,0.00443776
1.76724e+09,0.209755,0.00814308
1.76724e+09,0.0113134,0.00135034
1.76724e+09,0.0446486,0.0175087
1.76724e+09,0.298077,0.0101289
1.76724e+09,0.0254721,0.00462537
1.76724e+09,0.112407,0.0151169
1.76724e+09,0.24765,0.013326
1.76724e+09,0.193421,0.00748569
1.76724e+09,0.221519,0.0119127
1.76724e+09,0.251957,0.014375
1.76724e+09,0.0490792,0.00425938
1.76724e+09,0.0472694,0.0042253
1.76724e+09,0.0532465,0.00255458
1.76724e+09,0.231216,0.00783466
1.76724e+09,0.0822494,0.00537352
1.76724e+09,0.0144955,0.00386028
1.76724e+09,0.170849,0.00931876
1.76724e+09,0.0519096,0.0194984
1.76724e+09,0.122004,0.0105276
1.76724e+09,0.24919,0.00729476
1.76724e+09,0.356632,0.0157225
1.76724e+09,0.105449,0.00765604
1.76724e+09,0.0909079,0.0443834
1.76724e+09,0.134296,0.0533723
1.76724e+09,0.0752604,0.0139196
1.76724e+09,0.211328,0.04307
1.76724e+09,0.0440077,0.0413091
1.76724e+09,0.0653153,0.00843635
1.76724e+09,0.0535954,0.00501075
1.76724e+09,0.0300609,0.0127047
1.76724e+09,0.0524605,0.0154839
1.76724e+09,0.104669,0.0187567
1.76724e+09,0.0274772,0.00574452
1.76724e+09,0.0420086,0.0155358
1.76724e+09,0.135421,0.00670451
1.76724e+09,0.487095,0.0153226
1.76724e+09,0.0866345,0.00728488
1.76724e+09,0.101003,0.0056074
1.76724e+09,0.121598,0.00382963
1.76724e+09,0.0233858,0.00270087
1.76724e+09,0.455171,0.0125351
1.76724e+09,0.263905,0.0106191
1.76724e+09,0.349963,0.0123584
1.76724e+09,0.0403358,0.000713436
1.76724e+09,0.164714,0.00284611
1.76724e+09,0.183866,0.00308555
1.76724e+09,0.193021,0.0164034
1.76724e+09,0.382136,0.00811609
1.76724e+09,0.108393,0.0012696
1.76724e+09,0.161645,0.00737777
1.76724e+09,0.445951,0.0123466
1.76724e+09,0.316729,0.0108166
1.76724e+09,0.666149,0.0118251
