1.76733e+09,-nan,-nan
1.76733e+09,2.48253e-16,1.08852e-15
1.76733e+09,2.48253e-16,1.08852e-15
1.76733e+09,2.48253e-16,1.08852e-15
1.76733e+09,2.48253e-16,1.08852e-15
1.76733e+09,3.88578e-16,4.37984e-16
1.76733e+09,3.88578e-16,4.37984e-16
1.76733e+09,3.88578e-16,4.37984e-16
1.76733e+09,3.88578e-16,4.37984e-16
1.76733e+09,3.88578e-16,4.37984e-16
1.76733e+09,7.85046e-17,2.05316e-15
1.76733e+09,1.56118,0.203361
1.76733e+09,1.4985,1.14945
1.76733e+09,1.90992,2.19988
1.76733e+09,1.60812,1.79256
1.76733e+09,1.35173,2.33051
1.76733e+09,1.59368,2.78881
1.76733e+09,0.956994,2.35651
1.76733e+09,0.889206,2.68116
1.76733e+09,0.502595,2.81264
1.76733e+09,1.16156,0.61272
1.76733e+09,0.823358,2.69818
1.76733e+09,0.506673,2.79981
1.76733e+09,0.419953,0.195644
1.76733e+09,0.335215,0.149135
1.76733e+09,0.288864,2.77194
1.76733e+09,1.30402,0.702026
1.76733e+09,1.94893,0.29913
1.76733e+09,0.616841,0.0899172
1.76733e+09,1,0.2368
1.76733e+09,0.400153,0.0621925
1.76733e+09,0.440349,0.152282
1.76733e+09,1.52485,0.418535
1.76733e+09,1.89273,0.0870636
1.76733e+09,1,0.149796
1.76733e+09,1.73616,1.36938
1.76733e+09,1,2.23674
1.76733e+09,0.436242,1.70738
1.76733e+09,1.27466,2.65505
1.76733e+09,0.346341,2.8273
1.76733e+09,0.207585,2.82509
1.76733e+09,0.0826861,2.71933
1.76733e+09,0.0483448,2.78985
1.76733e+09,1.38043,1.68417
1.76733e+09,1.32308,0.878421
1.76733e+09,0.375336,0.152818
1.76733e+09,1.95409,0.122671
1.76733e+09,1.19585,0.242083
1.76733e+09,0.57193,0.108837
1.76733e+09,0.506177,0.158965
1.76733e+09,0.966356,0.156639
1.76733e+09,0.322695,0.0775927
1.76733e+09,1.13702,0.0681184
1.76733e+09,0.462454,0.0149011
1.76733e+09,0.342583,0.0410289
1.76733e+09,0.593808,0.0532361
1.76733e+09,0.405558,0.12333
1.76733e+09,1,0.412364
1.76733e+09,0.883025,2.82759
1.76733e+09,0.538116,0.165477
1.76733e+09,0.267992,0.0928098
1.76733e+09,0.497762,0.0883915
1.76733e+09,0.971064,0.270875
1.76733e+09,0.435412,0.182302
1.76733e+09,0.991684,1.54121
1.76733e+09,0.353616,0.0136165
1.76733e+09,0.345168,0.0198004
1.76733e+09,0.271236,0.374425
1.76733e+09,0.796956,0.0449572
1.76733e+09,1.05301,0.0316457
1.76733e+09,0.834442,0.11801
1.76733e+09,0.336818,0.0347508
1.76733e+09,0.298533,0.0447781
1.76733e+09,0.314879,0.0887414
1.76733e+09,0.962419,0.0555276
1.76733e+09,0.96583,0.0524757
1.76733e+09,0.359245,0.128131
1.76733e+09,0.687935,0.0736315
1.76733e+09,0.438614,0.0662998
1.76733e+09,0.69907,0.234464
1.76733e+09,0.0504724,2.77926
1.76733e+09,1.09103,0.243198
1.76733e+09,0.732188,1.76911
1.76733e+09,0.896915,0.741214
1.76733e+09,0.546791,2.82368
1.76733e+09,0.83804,1.91733
1.76733e+09,1.22421,1.19275
1.76733e+09,0.413229,2.56451
1.76733e+09,0.17173,0.0287838
1.76733e+09,1.08145,2.82786
1.76733e+09,1.64564,0.421687
1.76733e+09,0.436972,0.0230904
1.76733e+09,0.256132,0.0521141
1.76733e+09,0.300298,0.0165109
1.76733e+09,0.443562,0.0295648
1.76733e+09,0.113133,0.00757422
1.76733e+09,0.742899,0.0877229
1.76733e+09,1.06535,0.0605929
1.76733e+09,1,0.170403
1.76733e+09,1.33862,0.127353
1.76733e+09,0.796377,0.256492
1.76733e+09,0.218505,0.12168
1.76733e+09,0.907628,0.129053
1.76733e+09,0.886408,0.633866
1.76733e+09,1.13748,0.0749393
1.76733e+09,0.815151,0.118229
1.76733e+09,0.825559,0.0333309
1.76733e+09,0.854262,0.00999264
1.76733e+09,0.319872,0.0615465
1.76733e+09,0.682031,0.10353
1.76733e+09,0.427971,0.0754777
1.76733e+09,0.16097,0.00610401
1.76733e+09,0.41203,0.124636
1.76733e+09,0.213077,0.0317449
1.76733e+09,0.704921,0.28022
1.76733e+09,0.637728,2.82266
1.76733e+09,0.822665,0.0594959
1.76733e+09,0.816348,0.151725
1.76733e+09,0.850759,0.258115
1.76733e+09,0.165366,0.109905
1.76733e+09,0.644836,0.111511
1.76733e+09,0.84074,0.0718368
1.76733e+09,0.825984,0.0997672
1.76733e+09,0.977385,0.105321
1.76733e+09,1.28128,1.82088
