1.76724e+09,-nan,-nan
1.76724e+09,0.0112083,2.63365e-16
1.76724e+09,0.0255687,2.63365e-16
1.76724e+09,0.0342595,2.63365e-16
1.76724e+09,0.0225172,2.63365e-16
1.76724e+09,0.0544727,2.63365e-16
1.76724e+09,0.0252109,2.63365e-16
1.76724e+09,0.0169834,2.63365e-16
1.76724e+09,0.0609067,2.63365e-16
1.76724e+09,0.0664734,2.63365e-16
1.76724e+09,0.154735,2.63365e-16
1.76724e+09,0.0140486,2.63365e-16
1.76724e+09,0.0265092,2.63365e-16
1.76724e+09,0.00766275,2.63365e-16
1.76724e+09,0.00705879,2.63365e-16
1.76724e+09,0.0734809,2.63365e-16
1.76724e+09,0.033471,2.63365e-16
1.76724e+09,0.0255689,2.63365e-16
1.76724e+09,0.0515983,2.63365e-16
1.76724e+09,0.0233224,2.63365e-16
1.76724e+09,0.00780561,2.63365e-16
1.76724e+09,0.0258138,2.63365e-16
1.76724e+09,0.0290777,2.63365e-16
1.76724e+09,0.00618058,2.63365e-16
1.76724e+09,0.011979,2.63365e-16
1.76724e+09,0.00224146,2.63365e-16
1.76724e+09,0.0181125,2.63365e-16
1.76724e+09,0.081288,2.63365e-16
1.76724e+09,0.0101866,2.63365e-16
1.76724e+09,0.0176903,2.63365e-16
1.76724e+09,0.0230773,2.63365e-16
1.76724e+09,0.0675573,2.63365e-16
1.76724e+09,0.0403299,2.63365e-16
1.76724e+09,0.0264833,3.31544e-16
1.76724e+09,0,4.14413e-16
1.76724e+09,0.707634,3.44444e-16
1.76724e+09,0.186224,2.5994e-16
1.76724e+09,0.185292,6.13193e-16
1.76724e+09,0.181482,8.56344e-16
1.76724e+09,0.0629432,4.13258e-16
1.76724e+09,0.254802,3.81159e-16
1.76724e+09,0.174637,5.64556e-16
1.76724e+09,0.0156986,3.56649e-16
1.76724e+09,0.0716027,5.81753e-16
1.76724e+09,0.0368845,2.78081e-16
1.76724e+09,0.013415,6.16139e-16
1.76724e+09,0,2.09049e-16
1.76724e+09,0.857058,3.66039e-16
1.76724e+09,0.113319,2.93758e-16
