1.76733e+09,-nan,-nan
1.76733e+09,-nan,2.498e-16
1.76733e+09,-nan,2.498e-16
1.76733e+09,0,2.498e-16
1.76733e+09,0,2.498e-16
1.76733e+09,0,2.498e-16
1.76733e+09,0,2.498e-16
1.76733e+09,0,2.498e-16
1.76733e+09,0,2.498e-16
1.76733e+09,0,2.498e-16
1.76733e+09,1.50798,2.37143e-16
1.76733e+09,1.37283,2.48256e-16
1.76733e+09,1.46301,3.56295e-16
1.76733e+09,1.48709,6.76431e-17
1.76733e+09,1.64874,3.34221e-16
1.76733e+09,1.06169,4.6111e-16
1.76733e+09,1.91857,7.18435e-16
1.76733e+09,0.943989,1.10178e-15
1.76733e+09,0.345159,2.98695e-16
1.76733e+09,0.420038,6.96426e-16
1.76733e+09,0.37775,3.18779e-16
1.76733e+09,0.505511,1.77756e-17
1.76733e+09,0.626468,5.10813e-16
1.76733e+09,0.731121,0
1.76733e+09,0.434425,3.70045e-16
1.76733e+09,0.73802,4.87504e-16
1.76733e+09,0.36622,6.3596e-17
1.76733e+09,0.67708,2.38258e-16
1.76733e+09,0.463988,3.56392e-16
1.76733e+09,0.416246,6.3596e-17
1.76733e+09,0.271939,6.9735e-17
1.76733e+09,0.344745,1.28135e-16
1.76733e+09,0.348819,0
1.76733e+09,0.0751723,6.10977e-16
1.76733e+09,0.850192,5.29588e-16
1.76733e+09,0.247161,5.61515e-16
1.76733e+09,1.14273,6.49519e-16
1.76733e+09,1.09379,3.97944e-16
1.76733e+09,1.09276,3.89444e-16
1.76733e+09,0.307542,9.71445e-17
1.76733e+09,0.876136,1.57965e-16
1.76733e+09,0.389141,4.12266e-16
1.76733e+09,0.591957,6.08025e-16
1.76733e+09,0.207721,2.41569e-16
1.76733e+09,1.15906,3.25777e-16
1.76733e+09,0.0872188,3.89337e-16
1.76733e+09,1.03573,6.84739e-16
1.76733e+09,0.110344,6.04282e-16
1.76733e+09,0.75474,3.80818e-16
1.76733e+09,0.87929,7.19172e-16
1.76733e+09,0.583906,6.02286e-16
1.76733e+09,0.285618,4.37384e-16
1.76733e+09,0.64363,4.49745e-16
1.76733e+09,1.0531,5.44615e-16
1.76733e+09,0.339749,2.04079e-16
1.76733e+09,0.419255,1.85185e-16
1.76733e+09,0.815205,3.10317e-17
1.76733e+09,0.926584,3.25463e-17
1.76733e+09,0.209446,1.59595e-16
1.76733e+09,0.944817,2.08167e-17
1.76733e+09,0.117254,2.30268e-16
1.76733e+09,0.554341,0
1.76733e+09,0.0585205,6.54844e-17
1.76733e+09,0.251761,0
1.76733e+09,0.308056,5.15878e-16
1.76733e+09,0.810087,4.29147e-17
1.76733e+09,0.613116,2.11038e-17
1.76733e+09,1.0559,3.98986e-17
1.76733e+09,0.655743,0
1.76733e+09,1.09344,1.86739e-16
1.76733e+09,0.447715,0
1.76733e+09,1.30285,2.47087e-16
1.76733e+09,0.798599,0
1.76733e+09,1.11062,4.26671e-16
1.76733e+09,1.51364,7.98305e-16
1.76733e+09,1.08861,4.27967e-16
1.76733e+09,1.46181,2.49028e-16
1.76733e+09,0.883394,3.94969e-16
1.76733e+09,1.23381,4.61945e-16
1.76733e+09,0.595175,0
1.76733e+09,0.800133,4.82796e-16
1.76733e+09,0.173422,4.16507e-16
1.76733e+09,0.815855,3.0802e-16
1.76733e+09,0.0582265,6.86144e-16
1.76733e+09,0.697958,4.98165e-16
1.76733e+09,0.451746,4.4333e-16
1.76733e+09,0.200545,4.76797e-16
1.76733e+09,0.341812,8.43734e-16
1.76733e+09,0.176358,5.94927e-16
1.76733e+09,0.668963,6.23777e-16
1.76733e+09,0.349833,2.44147e-16
1.76733e+09,1.0149,2.31025e-16
1.76733e+09,0.357152,5.98598e-16
1.76733e+09,1.02068,3.48986e-16
1.76733e+09,1.07391,5.05302e-16
1.76733e+09,0.458711,4.52906e-16
1.76733e+09,0.985534,3.25759e-16
1.76733e+09,1.04154,0
1.76733e+09,0.938421,6.20634e-17
1.76733e+09,0.180705,5.88785e-17
1.76733e+09,0,2.48351e-16
1.76733e+09,0.595392,1.37558e-16
1.76733e+09,0.027026,8.61269e-17
1.76733e+09,0.335478,1.96453e-17
1.76733e+09,0.276901,2.49806e-16
1.76733e+09,0.548938,2.72346e-16
1.76733e+09,0.735574,2.00749e-16
1.76733e+09,0,1.27228e-16
1.76733e+09,0.400861,2.5172e-16
1.76733e+09,0.818526,4.12689e-16
1.76733e+09,0.223824,4.60705e-16
1.76733e+09,0.598247,6.52883e-16
1.76733e+09,0.664594,3.93503e-16
1.76733e+09,0.467781,3.99875e-16
1.76733e+09,0.397175,7.18603e-16
1.76733e+09,0.685587,8.09951e-16
1.76733e+09,0.473915,4.95196e-16
1.76733e+09,0.389833,3.17398e-16
1.76733e+09,0,4.43777e-16
1.76733e+09,0.362207,3.81781e-16
1.76733e+09,0.87612,3.79615e-16
1.76733e+09,0.463649,3.82647e-16
1.76733e+09,0.356499,0
1.76733e+09,0.320979,2.35718e-16
1.76733e+09,1.70897,1.3947e-16
1.76733e+09,0.164981,1.38778e-16
1.76733e+09,1.38885,1.30923e-16
1.76733e+09,0.553029,1.71659e-16
1.76733e+09,0.0438166,3.60822e-16
1.76733e+09,0,4.54815e-16
1.76733e+09,0.388077,4.11916e-16
1.76733e+09,0.634563,3.58949e-16
1.76733e+09,0.419371,1.49468e-16
1.76733e+09,0.471972,1.3668e-16
1.76733e+09,0.32596,1.71097e-16
1.76733e+09,0.706683,1.47523e-16
1.76733e+09,0.214178,3.50809e-16
1.76733e+09,0.720347,0
1.76733e+09,0.4322,3.11556e-16
1.76733e+09,0.895158,4.05985e-16
1.76733e+09,0.0941242,1.98336e-16
1.76733e+09,0.444405,3.45066e-16
1.76733e+09,0.748573,4.86713e-16
1.76733e+09,0.911404,6.45727e-16
1.76733e+09,1.04671,3.65595e-16
1.76733e+09,0.785528,3.79552e-16
1.76733e+09,1.17149,3.47846e-16
1.76733e+09,0.618462,1.94784e-16
1.76733e+09,1.36663,2.49631e-16
1.76733e+09,0.361647,2.97726e-16
1.76733e+09,0.365779,5.2295e-16
1.76733e+09,0.443361,4.49598e-16
1.76733e+09,0.943763,3.1709e-16
1.76733e+09,0.847305,3.76459e-16
1.76733e+09,0.410725,1.59765e-16
1.76733e+09,1.05481,4.2991e-16
1.76733e+09,0.204564,3.16216e-16
1.76733e+09,0.69416,3.351e-16
1.76733e+09,0.253339,2.88267e-16
1.76733e+09,0.547796,3.34482e-16
1.76733e+09,0.560702,0
1.76733e+09,0.450476,3.6275e-16
1.76733e+09,0.42698,2.55386e-16
1.76733e+09,0.288864,4.03323e-16
1.76733e+09,0.452526,7.89665e-16
1.76733e+09,1.07625,7.3087e-16
1.76733e+09,0.640303,3.05301e-16
1.76733e+09,0.776614,2.77659e-16
1.76733e+09,0.517083,3.76271e-16
1.76733e+09,0.476516,3.33747e-16
1.76733e+09,0,0
1.76733e+09,0.436167,3.16884e-16
1.76733e+09,0.303954,3.48642e-16
